"Exp. Points
Exp. Points
Exp. Points","Standard Mass
Standard Mass
g","ASCENDING LOAD
Mass indicated by the scale
g","ASCENDING LOAD
Environmental Temperature
°C","ASCENDING LOAD
Atmospheric Pressure
mbar/abs","DESCENDING LOAD
Mass indicated by the scale
g","DESCENDING LOAD
Environmental Temperature
°C","DESCENDING LOAD
Atmospheric Pressure
mbar/abs"
33,62.5,−11.1219,30.5,1002,−11.1230,30.4,1001
34,64.5,−9.1216,30.5,1002,−9.1229,30.4,1001
35,66.5,−7.1220,30.5,1002,−7.1229,30.4,1001
36,68.5,−5.1220,30.5,1002,−5.1230,30.4,1001
37,70.5,−3.1223,30.5,1002,−3.1229,30.4,1001
38,72.5,−1.1220,30.5,1002,−1.1228,30.4,1001
39,74.5,0.8780,30.4,1002,0.8772,30.4,1001
40,76.5,2.8777,30.4,1002,2.8770,30.4,1001
41,78.5,4.8775,30.4,1002,4.8773,30.4,1001
42,80.5,6.8772,30.4,1002,6.8771,30.4,1001
43,82.5,8.8773,30.4,1002,8.8769,30.4,1001
44,84.5,10.8774,30.4,1002,10.8773,30.4,1001
45,86.5,12.8778,30.4,1002,12.8770,30.4,1002
46,88.5,14.8776,30.4,1002,14.8766,30.4,1002
47,90.5,16.8777,30.4,1002,16.8770,30.4,1002
48,92.5,18.8777,30.4,1002,18.8770,30.4,1002
49,94.5,20.8779,30.4,1002,20.8768,30.4,1002
50,96.5,22.8775,30.4,1002,22.8770,30.4,1002
51,98.5,24.8775,30.4,1002,24.8771,30.4,1002
52,100.5,26.8766,30.3,1002,26.8760,30.4,1002
53,102.5,28.8765,30.3,1002,28.8761,30.3,1002
54,104.5,30.8766,30.3,1002,30.8758,30.3,1002
55,106.5,32.8764,30.3,1002,32.8759,30.3,1002
56,108.5,34.8765,30.3,1002,34.8760,30.3,1002
57,110.5,36.8765,30.3,1002,36.8756,30.3,1002
58,112.5,38.8766,30.3,1002,38.8757,30.3,1002
59,114.5,40.8766,30.3,1002,40.8757,30.2,1002
60,116.5,42.8766,30.3,1002,42.8758,30.2,1002
61,118.5,44.8765,30.3,1002,44.8762,30.2,1002
62,120.5,46.8766,30.3,1002,46.8758,30.2,1002
63,122.5,48.8765,30.3,1002,48.8757,30.2,1002
64,124.5,50.8763,30.3,1002,50.8758,30.2,1002
65,126.5,52.8763,30.2,1002,52.8759,30.2,1002
66,128.5,54.8763,30.2,1002,54.8761,30.2,1002
67,130.5,56.8762,30.2,1002,56.8756,30.2,1002
68,132.5,58.8761,30.2,1002,58.8754,30.2,1002
69,134.5,60.8762,30.2,1002,60.8756,30.2,1002
70,136.5,62.8762,30.2,1002,62.8754,30.2,1002
71,138.5,64.8760,30.2,1002,64.8754,30.2,1002
72,140.5,66.8758,30.2,1002,66.8758,30.2,1002
73,142.5,68.8762,30.2,1002,68.8758,30.2,1002
74,144.5,70.8762,30.2,1002,70.8756,30.2,1002
75,146.5,72.8760,30.2,1002,72.8755,30.2,1002
76,148.5,74.8759,30.2,1002,74.8754,30.2,1002
77,150.5,76.8761,30.2,1002,76.8755,30.2,1002
78,152.5,78.8759,30.2,1002,78.8757,30.2,1002
79,154.5,80.8761,30.2,1002,80.8757,30.2,1002
80,156.5,82.8760,30.2,1002,82.8757,30.2,1002
81,158.5,84.8760,30.2,1002,84.8752,30.2,1002
82,160.5,86.8758,30.2,1002,86.8758,30.2,1002
83,162.5,88.8759,30.2,1002,88.8755,30.2,1002
84,164.5,90.8758,30.2,1002,90.8755,30.2,1002
85,166.5,92.8757,30.2,1002,92.8755,30.2,1002
86,168.5,94.8757,30.2,1002,94.8753,30.2,1002
87,170.5,96.8760,30.2,1002,96.8753,30.2,1002
88,172.5,98.8762,30.2,1002,98.8755,30.2,1002
89,174.5,100.8760,30.2,1002,100.8754,30.2,1002
90,176.5,102.8760,30.2,1002,102.8753,30.2,1002
91,178.5,104.8759,30.2,1002,104.8754,30.2,1002
92,180.5,106.8757,30.1,1002,106.8753,30.2,1002
93,182.5,108.8760,30.1,1002,108.8753,30.2,1002
94,184.5,110.8761,30.1,1002,110.8750,30.2,1002
95,186.5,112.8760,30.1,1002,112.8752,30.2,1002
96,188.5,114.8761,30.1,1002,114.8753,30.2,1002
97,190.5,116.8759,30.1,1002,116.8751,30.2,1002
98,192.5,118.8758,30.1,1002,118.8755,30.2,1002
99,194.5,120.8759,30.1,1002,120.8755,30.2,1002
100,196.5,122.8757,30.1,1002,122.8755,30.2,1002
101,198.5,124.8759,30.1,1002,124.8758,30.2,1002
102,200.5,126.8753,30.1,1002,126.8753,30.1,1002
