lncRNA,miRNA
RP11-932O9.9,hsa-miR-4519
XLOC_011248,hsa-miR-4519
RP11-182L21.6,hsa-miR-4519
ERVK3-1,hsa-miR-6750-5p
XLOC_009783,hsa-miR-6750-5p
KCNQ1OT1,hsa-miR-6750-5p
CTD-2006C1.2,hsa-miR-6750-5p
CASC2,hsa-miR-6750-5p
LINC00960,hsa-miR-6750-5p
ERVK3-1,hsa-miR-6750-5p
CTC-241N9.1,hsa-miR-6750-5p
CTA-392E5.1,hsa-miR-6750-5p
ZNF213-AS1,hsa-miR-6750-5p
NDUFA6-AS1,hsa-miR-6750-5p
NEAT1,hsa-miR-6750-5p
RP5-1065J22.8,hsa-miR-6750-5p
GMDS-AS1,hsa-miR-6750-5p
ZNF213-AS1,hsa-miR-6750-5p
ERVK3-1,hsa-miR-6750-5p
C1QTNF9B-AS1,hsa-miR-6750-5p
LINC00662,hsa-miR-4740-5p
UCA1,hsa-miR-4740-5p
CTD-2017D11.1,hsa-miR-4740-5p
LOC100506639,hsa-miR-4740-5p
RP11-658F2.8,hsa-miR-4740-5p
RP11-440L14.1,hsa-miR-4740-5p
A1BG-AS1,hsa-miR-4740-5p
A1BG-AS1,hsa-miR-4740-5p
CTD-2017D11.1,hsa-miR-4740-5p
ARHGEF26-AS1,hsa-miR-4740-5p
XIST,hsa-miR-4740-5p
RP4-806M20.3,hsa-miR-4740-5p
XIST,hsa-miR-4740-5p
KCNQ1OT1,hsa-miR-4740-5p
RP5-890E16.2,hsa-miR-4740-5p
TMPO-AS1,hsa-miR-4740-5p
TMPO-AS1,hsa-miR-4740-5p
XLOC_006476,hsa-miR-4779
RP11-10L12.4,hsa-miR-4779
KCNQ1OT1,hsa-miR-4779
LINC00662,hsa-miR-4779
LINC00662,hsa-miR-4779
AC013394.2,hsa-miR-4779
RP11-111F5.4,hsa-miR-4779
AC013394.2,hsa-miR-4779
AC013394.2,hsa-miR-4779
CTC-459F4.3,hsa-miR-4779
RP11-111F5.4,hsa-miR-4779
GLIDR,hsa-miR-4779
AC005154.6,hsa-miR-4779
XLOC_007690,hsa-miR-4779
LINC01278,hsa-miR-4779
LINC00925,hsa-miR-4779
SH3BP5-AS1,hsa-miR-4779
RP11-111F5.4,hsa-miR-4779
RP11-440L14.1,hsa-miR-4779
LINC00925,hsa-miR-4779
RP11-440L14.1,hsa-miR-4779
IQCH-AS1,hsa-miR-4779
AC005154.6,hsa-miR-4779
IQCH-AS1,hsa-miR-4779
LOC100129917,hsa-miR-4779
CASC2,hsa-miR-4779
LBX2-AS1,hsa-miR-4779
LOC100190986,hsa-miR-4779
RP4-773N10.4,hsa-miR-4779
AC062029.1,hsa-miR-4779
XLOC_014159,hsa-miR-4779
LINC00680,hsa-miR-4779
LINC00662,hsa-miR-377-5p
LINC00662,hsa-miR-377-5p
LINC00662,hsa-miR-377-5p
KCNQ1OT1,hsa-miR-377-5p
ZNF213-AS1,hsa-miR-377-5p
CTC-559E9.6,hsa-miR-377-5p
XLOC_013274,hsa-miR-377-5p
AC138035.2,hsa-miR-377-5p
XLOC_006058,hsa-miR-377-5p
RP11-15H20.6,hsa-miR-377-5p
CTBP1-AS2,hsa-miR-377-5p
LINC00662,hsa-miR-377-5p
CTC-273B12.8,hsa-miR-377-5p
LINC00662,hsa-miR-377-5p
XLOC_012370,hsa-miR-377-5p
LOC100288069,hsa-miR-377-5p
LINC00265,hsa-miR-510-5p
LINC01347,hsa-miR-510-5p
LINC01002,hsa-miR-510-5p
XLOC_013274,hsa-miR-510-5p
LOC284581,hsa-miR-510-5p
KCNQ1OT1,hsa-miR-510-5p
FAM157C,hsa-miR-510-5p
LOC284581,hsa-miR-510-5p
XLOC_007970,hsa-miR-510-5p
XLOC_009145,hsa-miR-510-5p
RP11-457M11.5,hsa-miR-510-5p
RP5-1092A3.4,hsa-miR-510-5p
XLOC_012427,hsa-miR-510-5p
LINC01420,hsa-miR-510-5p
RP11-1149O23.3,hsa-miR-510-5p
LINC00662,hsa-miR-510-5p
RP5-890E16.2,hsa-miR-510-5p
ZNF674-AS1,hsa-miR-510-5p
RP11-712L6.5,hsa-miR-510-5p
SNHG3,hsa-miR-510-5p
MKLN1-AS,hsa-miR-510-5p
GS1-358P8.4,hsa-miR-510-5p
KB-1507C5.2,hsa-miR-510-5p
RP11-477H21.2,hsa-miR-510-5p
RP11-434D9.1,hsa-miR-510-5p
STAG3L5P-PVRIG2P-PILRB,hsa-miR-510-5p
RP11-644F5.11,hsa-miR-510-5p
STAG3L5P-PVRIG2P-PILRB,hsa-miR-510-5p
FLJ37035,hsa-miR-510-5p
RP11-473M20.9,hsa-miR-510-5p
KB-1507C5.2,hsa-miR-510-5p
XLOC_001223,hsa-miR-510-5p
XLOC_013274,hsa-miR-3613-3p
KCNQ1OT1,hsa-miR-3613-3p
LINC00662,hsa-miR-3613-3p
LINC00662,hsa-miR-3613-3p
XLOC_006242,hsa-miR-3613-3p
LINC01002,hsa-miR-3613-3p
RP11-34P13.13,hsa-miR-3613-3p
ZNF561-AS1,hsa-miR-3613-3p
RP11-15H20.6,hsa-miR-3613-3p
CTB-89H12.4,hsa-miR-3613-3p
CEBPZ-AS1,hsa-miR-3613-3p
RP11-15H20.6,hsa-miR-3613-3p
CEBPZ-AS1,hsa-miR-3613-3p
RP1-283E3.8,hsa-miR-3613-3p
RP11-498C9.15,hsa-miR-3613-3p
XIST,hsa-miR-3613-3p
GABPB1-AS1,hsa-miR-3613-3p
HCG11,hsa-miR-3613-3p
RP11-156E6.1,hsa-miR-3613-3p
TUG1,hsa-miR-3613-3p
CTD-2574D22.4,hsa-miR-3613-3p
SNHG16,hsa-miR-3613-3p
XLOC_006058,hsa-miR-3613-3p
CTD-3220F14.1,hsa-miR-3613-3p
RP11-34P13.13,hsa-miR-3613-3p
LOC100506730,hsa-miR-3613-3p
LINC00963,hsa-miR-3613-3p
RP5-1085F17.3,hsa-miR-3613-3p
FGD5-AS1,hsa-miR-3613-3p
RP11-159D12.2,hsa-miR-3613-3p
LINC01087,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
RP11-182L21.6,hsa-miR-3613-3p
CASC7,hsa-miR-3613-3p
CTC-444N24.11,hsa-miR-3613-3p
RP11-115C21.2,hsa-miR-3613-3p
NUTM2B-AS1,hsa-miR-3613-3p
LOC100190986,hsa-miR-3613-3p
LINC00963,hsa-miR-3613-3p
FAM201A,hsa-miR-3613-3p
TUG1,hsa-miR-3613-3p
RPARP-AS1,hsa-miR-3613-3p
AF127936.7,hsa-miR-3613-3p
AC025335.1,hsa-miR-3613-3p
LINC00963,hsa-miR-3613-3p
BCYRN1,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
LOC284023,hsa-miR-3613-3p
XLOC_001417,hsa-miR-3613-3p
RP11-747H7.3,hsa-miR-3613-3p
RP11-705C15.3,hsa-miR-3613-3p
CTD-2044J15.2,hsa-miR-3613-3p
CTD-3074O7.12,hsa-miR-3613-3p
AC159540.1,hsa-miR-3613-3p
OIP5-AS1,hsa-miR-3613-3p
LINC00342,hsa-miR-3613-3p
CTD-3092A11.2,hsa-miR-3613-3p
LINC00338,hsa-miR-3613-3p
RP11-469M7.1,hsa-miR-3613-3p
U91328.19,hsa-miR-3613-3p
TUG1,hsa-miR-3613-3p
MGC27345,hsa-miR-3613-3p
XLOC_000441,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
CTD-2369P2.2,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
FLJ31306,hsa-miR-3613-3p
KB-1460A1.5,hsa-miR-3613-3p
LINC00680,hsa-miR-3613-3p
ZNF213-AS1,hsa-miR-3613-3p
LINC01355,hsa-miR-3613-3p
LINC01002,hsa-miR-3613-3p
GLG1,hsa-miR-3613-3p
SNHG20,hsa-miR-3613-3p
RP11-513I15.6,hsa-miR-3613-3p
RP11-46C24.7,hsa-miR-3613-3p
LINC00938,hsa-miR-3613-3p
FAM157C,hsa-miR-3613-3p
LOC648987,hsa-miR-3613-3p
AC083843.1,hsa-miR-3613-3p
NEAT1,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
RP11-361F15.2,hsa-miR-3613-3p
COX10-AS1,hsa-miR-3613-3p
RP5-1074L1.4,hsa-miR-3613-3p
RP5-1092A3.4,hsa-miR-3613-3p
CTD-3252C9.4,hsa-miR-3613-3p
LINC00657,hsa-miR-3613-3p
RP11-395B7.7,hsa-miR-3613-3p
RP11-798M19.6,hsa-miR-3613-3p
LINC00467,hsa-miR-3613-3p
RP11-206L10.5,hsa-miR-3613-3p
SNHG16,hsa-miR-3613-3p
XLOC_003416,hsa-miR-3613-3p
XLOC_007970,hsa-miR-3613-3p
RP11-6N17.4,hsa-miR-3613-3p
NUTM2B-AS1,hsa-miR-3613-3p
FLJ10038,hsa-miR-3613-3p
LINC00467,hsa-miR-3613-3p
RP11-159D12.2,hsa-miR-3613-3p
XLOC_010212,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
LINC00662,hsa-miR-3613-3p
CTC-273B12.8,hsa-miR-3613-3p
CTC-365E16.1,hsa-miR-3613-3p
AC005154.6,hsa-miR-3613-3p
ZNF674-AS1,hsa-miR-3613-3p
FAM211A-AS1,hsa-miR-3613-3p
XLOC_008461,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
RP11-395P17.3,hsa-miR-3613-3p
LINC00963,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
MIR17HG,hsa-miR-3613-3p
LINC00630,hsa-miR-3613-3p
PCAT7,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
RP11-282O18.3,hsa-miR-3613-3p
RP11-350F4.2,hsa-miR-3613-3p
CTC-273B12.8,hsa-miR-3613-3p
SLC25A25-AS1,hsa-miR-3613-3p
SNHG16,hsa-miR-3613-3p
AC013394.2,hsa-miR-3613-3p
PCBP2-OT1,hsa-miR-3613-3p
AC011747.4,hsa-miR-3613-3p
LINC00662,hsa-miR-3613-3p
FAM211A-AS1,hsa-miR-3613-3p
RP11-159D12.2,hsa-miR-3613-3p
RP11-174G6.5,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
FAM211A-AS1,hsa-miR-3613-3p
SNHG3,hsa-miR-3613-3p
FAM211A-AS1,hsa-miR-3613-3p
LINC01125,hsa-miR-3613-3p
RP11-798M19.6,hsa-miR-3613-3p
MIR17HG,hsa-miR-3613-3p
AC016747.3,hsa-miR-3613-3p
PDXDC2P,hsa-miR-3613-3p
RP11-226L15.5,hsa-miR-3613-3p
AC005562.1,hsa-miR-3613-3p
ZNF213-AS1,hsa-miR-3613-3p
XLOC_009145,hsa-miR-3613-3p
LINC00052,hsa-miR-3613-3p
TMEM191C,hsa-miR-3613-3p
RP11-443B7.1,hsa-miR-3613-3p
LRRC75A-AS1,hsa-miR-3613-3p
LINC01347,hsa-miR-3613-3p
XLOC_011248,hsa-miR-3613-3p
CKMT2-AS1,hsa-miR-3613-3p
LINC00662,hsa-miR-6086
LINC00662,hsa-miR-6086
LINC00662,hsa-miR-6086
KCNQ1OT1,hsa-miR-6086
RP11-15H20.6,hsa-miR-6086
XLOC_013274,hsa-miR-6086
CTC-559E9.6,hsa-miR-6086
LINC00662,hsa-miR-6086
LINC00662,hsa-miR-6086
CTC-260E6.6,hsa-miR-6086
XLOC_012370,hsa-miR-6086
ERVK3-1,hsa-miR-6086
LOC100129034,hsa-miR-6086
ZNF213-AS1,hsa-miR-6086
AC138035.2,hsa-miR-6086
RP11-15E18.1,hsa-miR-6086
RP11-212P7.2,hsa-miR-6086
TTN-AS1,hsa-miR-6086
RP11-34P13.13,hsa-miR-7106-5p
LOC100190986,hsa-miR-7106-5p
KCNQ1OT1,hsa-miR-7106-5p
ZNF561-AS1,hsa-miR-7106-5p
LINC00174,hsa-miR-7106-5p
AC138035.2,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
XLOC_013274,hsa-miR-7106-5p
CYP4F35P,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
C21orf15,hsa-miR-7106-5p
AC022007.5,hsa-miR-7106-5p
LINC00662,hsa-miR-7106-5p
LINC00662,hsa-miR-7106-5p
LINC00999,hsa-miR-7106-5p
CYP4F35P,hsa-miR-7106-5p
XLOC_006242,hsa-miR-7106-5p
AC138035.2,hsa-miR-7106-5p
LINC01001,hsa-miR-7106-5p
XLOC_008461,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
LINC00680,hsa-miR-7106-5p
FAM157C,hsa-miR-7106-5p
RP11-126K1.6,hsa-miR-7106-5p
CTBP1-AS2,hsa-miR-7106-5p
AP000251.3,hsa-miR-7106-5p
LINC01125,hsa-miR-7106-5p
AC009299.3,hsa-miR-7106-5p
AC009299.3,hsa-miR-7106-5p
XLOC_008528,hsa-miR-7106-5p
XLOC_001223,hsa-miR-7106-5p
TCL6,hsa-miR-7106-5p
CTB-89H12.4,hsa-miR-7106-5p
AC004951.6,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
LOC100506730,hsa-miR-7106-5p
ASB16-AS1,hsa-miR-7106-5p
AC022007.5,hsa-miR-7106-5p
RP11-384K6.6,hsa-miR-7106-5p
LINC00963,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
TTN-AS1,hsa-miR-7106-5p
RP11-155G14.6,hsa-miR-7106-5p
LINC01061,hsa-miR-7106-5p
XLOC_009783,hsa-miR-7106-5p
PPP3CB-AS1,hsa-miR-7106-5p
LINC01000,hsa-miR-7106-5p
PPP3CB-AS1,hsa-miR-7106-5p
RP11-617F23.1,hsa-miR-7106-5p
ERVK3-1,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
AC003102.3,hsa-miR-7106-5p
CTC-365E16.1,hsa-miR-7106-5p
THUMPD3-AS1,hsa-miR-7106-5p
THUMPD3-AS1,hsa-miR-7106-5p
XLOC_006455,hsa-miR-7106-5p
SPACA6P,hsa-miR-7106-5p
RP11-22P6.3,hsa-miR-7106-5p
RP11-983P16.4,hsa-miR-7106-5p
XLOC_010268,hsa-miR-7106-5p
RP11-206L10.9,hsa-miR-7106-5p
GABPB1-AS1,hsa-miR-7106-5p
THUMPD3-AS1,hsa-miR-7106-5p
LINC00662,hsa-miR-7106-5p
AC138035.2,hsa-miR-7106-5p
LINC01128,hsa-miR-7106-5p
LAMTOR5-AS1,hsa-miR-7106-5p
LINC01001,hsa-miR-7106-5p
RP11-81H3.2,hsa-miR-7106-5p
RP11-504P24.8,hsa-miR-7106-5p
RP11-347C12.10,hsa-miR-7106-5p
LAMTOR5-AS1,hsa-miR-7106-5p
XLOC_003662,hsa-miR-7106-5p
ASB16-AS1,hsa-miR-7106-5p
LINC01001,hsa-miR-7106-5p
RP11-573D15.2,hsa-miR-7106-5p
LINC00494,hsa-miR-7106-5p
KCNK15-AS1,hsa-miR-7106-5p
LINC00265,hsa-miR-7106-5p
LINC00494,hsa-miR-7106-5p
LINC00173,hsa-miR-7106-5p
XIST,hsa-miR-7106-5p
XLOC_013998,hsa-miR-7106-5p
RP11-395P17.3,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
LINC00174,hsa-miR-7106-5p
LAMTOR5-AS1,hsa-miR-7106-5p
RP11-498C9.15,hsa-miR-7106-5p
RPARP-AS1,hsa-miR-7106-5p
BCYRN1,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
LINC00094,hsa-miR-7106-5p
RP11-22P6.3,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
AC016747.3,hsa-miR-7106-5p
CTD-3074O7.12,hsa-miR-7106-5p
PCBP1-AS1,hsa-miR-7106-5p
LINC00094,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
LINC00174,hsa-miR-7106-5p
XLOC_009145,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
GLG1,hsa-miR-7106-5p
ZNF561-AS1,hsa-miR-7106-5p
RP11-15H20.6,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
LINC00960,hsa-miR-7106-5p
RP4-669L17.10,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
RP11-34P13.13,hsa-miR-7106-5p
FAM83H-AS1,hsa-miR-7106-5p
LINC00649,hsa-miR-7106-5p
CTC-459F4.3,hsa-miR-7106-5p
SLC25A25-AS1,hsa-miR-7106-5p
RP11-616M22.7,hsa-miR-7106-5p
LINC00963,hsa-miR-7106-5p
RP11-513I15.6,hsa-miR-7106-5p
RP11-6N17.4,hsa-miR-7106-5p
NUTM2B-AS1,hsa-miR-7106-5p
RP11-284F21.10,hsa-miR-7106-5p
RP11-21L23.2,hsa-miR-7106-5p
XLOC_002996,hsa-miR-7106-5p
LINC01002,hsa-miR-7106-5p
XLOC_014159,hsa-miR-7106-5p
GNAS-AS1,hsa-miR-7106-5p
