"
LogNumSubs","Single SIC
0.019***","Single SIC
0.047***","Multi-SIC
0.008","Multi-SIC
0.026*","Domestic sales only
0.022***","Domestic sales only
0.031*","Multinationals
0.009","Multinationals
0.029**"
LogNumRptLenders,−0.036***,−0.039***,−0.062***,−0.045***,−0.013,−0.025*,−0.059***,−0.059***
,(−3.680),(−3.525),(−5.675),(−3.848),(−0.976),(−1.716),(−6.473),(−6.145)
NumLeadLenders,0.008,0.016,0.028***,0.027**,0.034***,0.028*,−0.000,0.011
,(0.725),(1.547),(2.680),(2.051),(3.024),(1.943),(−0.022),(1.315)
ForeignLeadLender,−0.033,−0.054*,0.053*,0.035,0.037,0.025,0.023,−0.004
,(−1.008),(−1.682),(1.854),(1.197),(0.901),(0.579),(0.897),(−0.160)
LogTotalAssets,−0.118***,−0.055**,−0.082***,−0.091***,−0.135***,−0.073***,−0.084***,−0.085***
,(−12.193),(−2.470),(−7.431),(−4.555),(−10.500),(−2.919),(−9.311),(−4.932)
Tangibility,−0.145***,0.010,0.015,0.034,−0.178***,−0.157,−0.006,0.011
,(−3.115),(0.087),(0.263),(0.318),(−2.819),(−1.183),(−0.138),(0.128)
ROA,−0.243***,−0.121*,−0.139,−0.127,−0.122*,0.070,−0.273***,−0.365***
,(−3.475),(−1.668),(−1.504),(−1.389),(−1.646),(1.206),(−3.788),(−5.904)
DebtRatio,0.289***,0.222***,0.299***,0.261***,0.239***,0.044,0.306***,0.282***
,(8.583),(3.582),(6.724),(4.171),(5.803),(0.679),(8.390),(5.224)
MarketToBook,−0.044***,−0.038***,−0.087***,−0.078***,−0.044***,−0.068***,−0.053***,−0.039***
,(−6.466),(−3.244),(−7.780),(−4.885),(−4.343),(−4.016),(−6.541),(−3.385)
Zscore,−0.017***,−0.028**,−0.023**,−0.014,−0.022***,−0.061***,−0.023***,−0.027**
,(−3.951),(−2.405),(−2.015),(−1.203),(−2.870),(−5.509),(−3.592),(−2.566)
Junkrated,0.054**,−0.005,0.078***,0.028,0.053*,−0.038,0.088***,0.041
,(2.166),(−0.141),(2.895),(0.795),(1.694),(−0.895),(3.845),(1.274)
Unrated,−0.010,−0.038,−0.012,−0.024,−0.007,−0.066,0.002,−0.057**
,(−0.471),(−1.169),(−0.607),(−0.778),(−0.257),(−1.471),(0.099),(−2.246)
Big4Auditor,−0.004,−0.044,−0.012,0.010,0.018,0.023,−0.012,−0.024
,(−0.287),(−1.371),(−0.717),(0.335),(0.974),(0.636),(−0.898),(−0.928)
InstOwnHHI,0.125**,0.279***,0.008,0.129,0.117**,0.150*,0.112,0.222***
,(2.024),(3.372),(0.140),(1.504),(2.031),(1.687),(1.619),(2.767)
Recession,0.099*,0.132***,0.061,0.098**,0.051,0.025,0.074*,0.091**
,(1.773),(2.609),(1.250),(2.301),(0.757),(0.432),(1.656),(2.061)
ForeignIncome,−0.497*,−0.510,−0.740**,−0.910***,0.169,−13.459*,−0.472**,−0.204
,(−1.830),(−1.511),(−2.496),(−2.914),(0.120),(−1.652),(−2.232),(−0.756)
NumGeogSales,0.001,0.021*,0.003,−0.005,–,–,0.002,0.003
,(0.255),(1.916),(0.700),(−0.678),–,–,(0.527),(0.512)
GeogSalesHHI,0.021,0.152,−0.038,−0.099,0.318,0.498,−0.043,−0.013
,(0.420),(1.515),(−0.813),(−1.236),(1.156),(1.579),(−1.158),(−0.191)
BussegSalesHHI,−0.138***,−0.191***,0.052,0.016,−0.020,0.000,0.024,−0.051
,(−4.254),(−3.201),(1.633),(0.297),(−0.506),(0.004),(0.978),(−1.395)
Observations,7297,6601,7142,6788,4738,4282,9690,9164
Adjusted R-squared,0.662,0.778,0.691,0.776,0.626,0.746,0.690,0.786
Year FE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Industry FE,Yes,No,Yes,No,Yes,No,Yes,No
Firm FE,No,Yes,No,Yes,No,Yes,No,Yes
