"Exp. Points
Exp. Points
","ASCENDING LOAD
Indicated Mass
g","ASCENDING LOAD
Ajusted Mass
G","DESCENDING LOAD
Indicated Mass
g","DESCENDING LOAD
Ajusted Mass
g","UNCERTAINTY ANALYSIS
Adjusted Uncertainty
g","UNCERTAINTY ANALYSIS
Standard Mass Uncertainty
g","UNCERTAINTY ANALYSIS
Resolution Uncertainty
g","UNCERTAINTY ANALYSIS
Combined Uncertainty
g","UNCERTAINTY ANALYSIS
Expanded Uncertainty
g"
34,−9.1216,64.8380,−9.1229,64.8367,0.00280,0.0000218,0.000029,0.0028,0.0055
35,−7.1220,66.8480,−7.1229,66.8471,0.00280,0.0000221,0.000029,0.0028,0.0055
36,−5.1220,68.8584,−5.1230,68.8574,0.00280,0.0000230,0.000029,0.0028,0.0055
37,−3.1223,70.8685,−3.1229,70.8679,0.00280,0.0000217,0.000029,0.0028,0.0055
38,−1.1220,72.8792,−1.1228,72.8784,0.00280,0.0000227,0.000029,0.0028,0.0055
39,0.8780,74.8896,0.8772,74.8888,0.00280,0.0000236,0.000029,0.0028,0.0055
40,2.8777,76.8997,2.8770,76.8990,0.00280,0.0000239,0.000029,0.0028,0.0055
41,4.8775,78.9099,4.8773,78.9097,0.00280,0.0000247,0.000029,0.0028,0.0055
42,6.8772,80.9200,6.8771,80.9199,0.00280,0.0000239,0.000029,0.0028,0.0055
43,8.8773,82.9305,8.8769,82.9301,0.00280,0.0000248,0.000029,0.0028,0.0055
44,10.8774,84.9410,10.8773,84.9409,0.00280,0.0000256,0.000029,0.0028,0.0055
45,12.8778,86.9518,12.8770,86.9510,0.00280,0.0000239,0.000029,0.0028,0.0055
46,14.8776,88.9620,14.8766,88.9610,0.00280,0.0000247,0.000029,0.0028,0.0055
47,16.8777,90.9725,16.8770,90.9718,0.00280,0.0000256,0.000029,0.0028,0.0055
48,18.8777,92.9829,18.8770,92.9822,0.00280,0.0000264,0.000029,0.0028,0.0055
49,20.8779,94.9935,20.8768,94.9924,0.00280,0.0000272,0.000029,0.0028,0.0055
50,22.8775,97.0035,22.8770,97.0030,0.00280,0.0000274,0.000029,0.0028,0.0055
51,24.8775,99.0139,24.8771,99.0135,0.00280,0.0000282,0.000029,0.0028,0.0055
52,26.8766,101.0234,26.8760,101.0228,0.00280,0.0000268,0.000029,0.0028,0.0055
53,28.8765,103.0337,28.8761,103.0333,0.00280,0.0000276,0.000029,0.0028,0.0055
54,30.8766,105.0442,30.8758,105.0434,0.00280,0.0000284,0.000029,0.0028,0.0055
55,32.8764,107.0544,32.8759,107.0539,0.00280,0.0000286,0.000029,0.0028,0.0055
56,34.8765,109.0649,34.8760,109.0644,0.00280,0.0000293,0.000029,0.0028,0.0055
57,36.8765,111.0753,36.8756,111.0744,0.00280,0.0000286,0.000029,0.0028,0.0055
58,38.8766,113.0858,38.8757,113.0849,0.00280,0.0000294,0.000029,0.0028,0.0055
59,40.8766,115.0962,40.8757,115.0953,0.00280,0.0000301,0.000029,0.0028,0.0055
60,42.8766,117.1066,42.8758,117.1058,0.00280,0.0000303,0.000029,0.0028,0.0055
61,44.8765,119.1169,44.8762,119.1166,0.00280,0.0000310,0.000029,0.0028,0.0055
62,46.8766,121.1274,46.8758,121.1266,0.00280,0.0000300,0.000029,0.0028,0.0055
63,48.8765,123.1377,48.8757,123.1369,0.00280,0.0000307,0.000029,0.0028,0.0055
64,50.8763,125.1479,50.8758,125.1474,0.00280,0.0000314,0.000029,0.0028,0.0055
65,52.8763,127.1583,52.8759,127.1579,0.00280,0.0000316,0.000029,0.0028,0.0055
66,54.8763,129.1687,54.8761,129.1685,0.00280,0.0000323,0.000029,0.0028,0.0055
67,56.8762,131.1790,56.8756,131.1784,0.00280,0.0000317,0.000029,0.0028,0.0055
68,58.8761,133.1893,58.8754,133.1886,0.00280,0.0000323,0.000029,0.0028,0.0055
69,60.8762,135.1998,60.8756,135.1992,0.00280,0.0000330,0.000029,0.0028,0.0055
70,62.8762,137.2102,62.8754,137.2094,0.00280,0.0000332,0.000029,0.0028,0.0055
71,64.8760,139.2204,64.8754,139.2198,0.00280,0.0000338,0.000029,0.0028,0.0055
72,66.8758,141.2306,66.8758,141.2306,0.00280,0.0000329,0.000029,0.0028,0.0055
73,68.8762,143.2414,68.8758,143.2410,0.00280,0.0000336,0.000029,0.0028,0.0055
74,70.8762,145.2518,70.8756,145.2512,0.00280,0.0000342,0.000029,0.0028,0.0055
75,72.8760,147.2620,72.8755,147.2615,0.00280,0.0000344,0.000029,0.0028,0.0055
76,74.8759,149.2723,74.8754,149.2718,0.00280,0.0000350,0.000029,0.0028,0.0055
77,76.8761,151.2829,76.8755,151.2823,0.00280,0.0000315,0.000029,0.0028,0.0055
78,78.8759,153.2931,78.8757,153.2929,0.00280,0.0000322,0.000029,0.0028,0.0055
79,80.8761,155.3037,80.8757,155.3033,0.00280,0.0000328,0.000029,0.0028,0.0055
80,82.8760,157.3140,82.8757,157.3137,0.00280,0.0000330,0.000029,0.0028,0.0055
81,84.8760,159.3244,84.8752,159.3236,0.00280,0.0000336,0.000029,0.0028,0.0055
82,86.8758,161.3346,86.8758,161.3346,0.00280,0.0000330,0.000029,0.0028,0.0055
83,88.8759,163.3451,88.8755,163.3447,0.00280,0.0000337,0.000029,0.0028,0.0055
84,90.8758,165.3554,90.8755,165.3551,0.00280,0.0000343,0.000029,0.0028,0.0055
85,92.8757,167.3657,92.8755,167.3655,0.00280,0.0000345,0.000029,0.0028,0.0055
86,94.8757,169.3761,94.8753,169.3757,0.00280,0.0000351,0.000029,0.0028,0.0055
87,96.8760,171.3868,96.8753,171.3861,0.00280,0.0000343,0.000029,0.0028,0.0055
88,98.8762,173.3974,98.8755,173.3967,0.00280,0.0000349,0.000029,0.0028,0.0055
89,100.8760,175.4076,100.8754,175.4070,0.00280,0.0000355,0.000029,0.0028,0.0055
90,102.8760,177.4180,102.8753,177.4173,0.00280,0.0000357,0.000029,0.0028,0.0055
91,104.8759,179.4283,104.8754,179.4278,0.00280,0.0000362,0.000029,0.0028,0.0055
92,106.8757,181.4385,106.8753,181.4381,0.00280,0.0000357,0.000029,0.0028,0.0055
93,108.8760,183.4492,108.8753,183.4485,0.00280,0.0000363,0.000029,0.0028,0.0055
94,110.8761,185.4597,110.8750,185.4586,0.00280,0.0000369,0.000029,0.0028,0.0055
95,112.8760,187.4700,112.8752,187.4692,0.00280,0.0000370,0.000029,0.0028,0.0055
96,114.8761,189.4805,114.8753,189.4797,0.00280,0.0000376,0.000029,0.0028,0.0055
97,116.8759,191.4907,116.8751,191.4899,0.00280,0.0000368,0.000029,0.0028,0.0055
98,118.8758,193.5010,118.8755,193.5007,0.00280,0.0000371,0.000029,0.0028,0.0055
99,120.8759,195.5115,120.8755,195.5111,0.00280,0.0000376,0.000029,0.0028,0.0055
100,122.8757,197.5217,122.8755,197.5215,0.00280,0.0000381,0.000029,0.0028,0.0055
101,124.8759,199.5323,124.8758,199.5322,0.00280,0.0000387,0.000029,0.0028,0.0055
102,126.8753,201.5421,126.8753,201.5421,0.00280,0.0000502,0.000029,0.0028,0.0055
