"

Residual1","Prediction model
Industry FE
","Prediction model
Firm FE
","Second stage model
Industry FE
0.016***","Second stage model
Industry FE
","Second stage model
Firm FE
0.027***","Second stage model
Firm FE
"
CreditLine,−0.002,−0.043*,0.098***,0.092***,0.050**,0.049**
,(−0.058),(−1.727),(4.396),(3.967),(2.270),(2.220)
LogNumLenders,−0.021,−0.002,−0.020**,−0.020**,−0.020**,−0.019**
,(−1.070),(−0.157),(−2.485),(−2.427),(−2.202),(−2.146)
LogNumRptLenders,0.046**,0.003,−0.043***,−0.045***,−0.039***,−0.040***
,(2.414),(0.202),(−5.503),(−5.583),(−4.537),(−4.663)
NumLeadLenders,−0.025,−0.033**,0.010,0.007,0.015*,0.015*
,(−1.250),(−2.122),(1.140),(0.876),(1.946),(1.917)
ForeignLeadLender,0.003,0.002,0.024,0.018,0.001,0.001
,(0.057),(0.056),(1.014),(0.719),(0.049),(0.046)
LogTotalAssets,0.259***,0.245***,−0.092***,−0.087***,−0.084***,−0.083***
,(10.463),(6.267),(−12.051),(−10.878),(−5.947),(−5.893)
Tangibility,−0.392***,−0.361**,−0.085**,−0.082**,−0.051,−0.049
,(−4.051),(−2.421),(−2.343),(−2.116),(−0.705),(−0.674)
ROA,−0.012,0.003,−0.193***,−0.131*,−0.150**,−0.150**
,(−0.133),(0.032),(−2.761),(−1.735),(−1.977),(−1.976)
DebtRatio,0.024,0.051,0.285***,0.265***,0.199***,0.199***
,(0.377),(0.729),(9.994),(8.802),(4.419),(4.435)
MarketToBook,−0.035***,−0.024,−0.050***,−0.057***,−0.046***,−0.046***
,(−3.325),(−1.565),(−7.305),(−6.950),(−4.578),(−4.551)
Zscore,−0.030***,−0.038***,−0.022***,−0.034***,−0.027***,−0.027***
,(−3.479),(−2.788),(−4.199),(−5.305),(−3.066),(−3.088)
Junkrated,0.017,0.037,0.070***,0.066***,0.011,0.011
,(0.344),(0.729),(3.717),(3.421),(0.423),(0.443)
Unrated,−0.047,−0.003,−0.002,0.000,−0.042*,−0.041*
,(−1.269),(−0.078),(−0.123),(0.025),(−1.917),(−1.864)
Big4Auditor,0.022,−0.063,−0.004,−0.004,−0.017,−0.020
,(0.805),(−1.611),(−0.329),(−0.346),(−0.803),(−0.908)
InstOwnHHI,−0.155,−0.103,0.089*,0.099*,0.080,0.081
,(−1.330),(−0.841),(1.861),(1.873),(1.234),(1.256)
Recession,0.098,0.066,0.072*,0.067,0.079**,0.078**
,(1.310),(1.154),(1.788),(1.540),(2.160),(2.134)
ForeignIncome,1.673***,1.350***,−0.605***,−0.628***,−0.693***,−0.696***
,(3.004),(2.955),(−2.912),(−2.925),(−2.829),(−2.845)
NumGeogSales,−0.028***,−0.014,0.003,0.004,0.006,0.007
,(−3.671),(−1.521),(0.800),(0.925),(1.028),(1.092)
GeogSalesHHI,−1.369***,−0.616***,−0.033,−0.015,−0.043,−0.023
,(−15.713),(−5.579),(−0.972),(−0.406),(−0.691),(−0.368)
BussegSalesHHI,−0.081,−0.009,0.008,0.011,−0.033,−0.032
,(−1.622),(−0.143),(0.397),(0.523),(−1.039),(−0.985)
Observations,"13,080","12,300","13,080","12,300","12,300","12,300"
Adjusted R-squared,0.533,0.857,0.669,0.679,0.767,0.767
Year FE,Yes,Yes,Yes,Yes,Yes,Yes
Industry FE,Yes,No,Yes,Yes,No,No
Firm FE,No,Yes,No,No,Yes,Yes
