Compound,Structure,Target,Chemistry,Year,Ref.
Not named                          14,Image 14,Analogues of WAY-100635 targeting 5-HT                         1A,"E.g.                         Pd(Ph                         3                        )                         4                         BuLi                        THF, 130 °C",2007,[                         85                        ]
[                         11                        C]PipISB                          15,Image 15,CB1 receptor ligand,"Pd(Ph                         3                        )                         4                         THF, 150 °C                        5 min",2008,[                         86                        ]
Not named                          16,Image 16,VEGFR-2/ PDGFR-β ligand,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 80 °C                        5 min",2009,[                         125                        ]
[                         11                        C]Tolbutamide                          17,Image 17,Registered drug.                        Insulin secretagogue,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 80 °C                        5 min",2011,[                         126                        ]
[                         11                        C]LY-181984                          18,Image 18,Cytotoxic agent,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 80 °C                        5 min",2011,[                         126                        ]
[                         11                        C]Triclocarban                          19,Image 19,Antibacterial compound,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 140 °C                        5 min",2012,[                         87                        ]
[                         carbonyl-                          11                        C]methyl nicotinate                          20,Image 20,Peripheral vasodilator,"Pd                         2                        (dba)                         3                        + PPh                         3                         TMPAH                        THF, 160 °C                        5 min",2012,[                         87                        ]
[                         11                        C]Am80                        [                         11                        C]Tamibarotene                          21,Image 21                           (multistep synthesis),RAR-γ receptor ligand,"E.g.                         Pd(dba)                         2                        + P(t-Bu)                         3                        HBF                         4                         TBACl                        DMF, 120 °C                        5 min",2012,"[                         81                        ,                         113                        ,                         116                        ]"
Not named                          22,Image 22,Candidate EGFR ligand,"Pd                         2                        (dba)                         3                        + PPh                         3                         THF, 110 °C                        5 min",2012,[                         71                        ]
[                         11                        C]GSK1034702                          23,Image 23,M1 muscarinic acetylcholine receptor ligand,"Pd(PPh                         3                        )                         2                        Cl                         2                         Cs                         2                        CO                         3                         DMF, 120 °C                        6 min",2014,[                         50                        ]
Not named                          24,Image 24,Biomolecule labelling agent,"Pd                         2                        (dba)                         3                        + Xantphos                        DABCO                        THF, 70–90 °C                        5 min",2015,[                         106                        ]
[                         11                        C]Olaparib                          25,Image 25,Registered drug. PolyADP ribose polymerase inhibitor,"E.g.                         Pre-made Pd(PtBu3)-aryl complex                        Dioxane, 100 °C                        10 min                        In vial or microfluidics",2015                        2020,"[                         34                        ,                         59                        ,                         67                        ]"
[                         11                        C]Moclobemide                          26,Image 26,Registered drug. Monoamine oxidase inhibitor,"Pd                         2                        (dba)                         3                        + Xantphos,                        DMF, 120 °C                        8–10 min",2015,[                         34                        ]
Not named                          27,Image 27,Analogue of Itopride targeting acetylcholine-esterase,"Pd                         2                        (dba)                         3                        + Xantphos,                        DMF, 120 °C                        8–10 min",2015,[                         34                        ]
Not named                          28,Image 28,H3 receptor antagonist,"Pd                         2                        (dba)                         3                        + Xantphos,                        DMF, 120 °C                        8–10 min",2015,[                         34                        ]
Not named                          29,Image 29,hA                         2A                        receptor antagonist,"Pd                         2                        (dba)                         3                        + Xantphos,                        DMF, 120 °C                        8–10 min",2015,[                         34                        ]
[                         carbonyl                        -                         11                        C]FLB457                          30,Image 30,Dopamine D2 radioligand,"E.g.                         [(cinnamyl)PdCl]                         2                        + Xantphos                        THF, 75 °C                        5 min",2015                        2020,"[                         67                        ,                         70                        ]"
[                         11                        C]Aspirin                          31,Image 31,"Registered drug. Antiinflammatory, analgesic and antipyretic activity","Pd(OAc)                         2                        + PPh                         3                        ,                         p                        -benzoquinone                        DMF-H                         2                        O, 65 °C                        5 min",2015,[                         102                        ]
[                         11                        C]JNJ-31020028                          32,Image 32,Neuropeptide Y Y2 receptor antagonist,"Pre-made Pd(Xantphos)-aryl complex                        Me-TBD                        Dioxane, 95 °C                        10 min",2015,[                         59                        ]
[                         11                        C]Tubastatin A                          33,Image 33                           (multistep synthesis),Histone deacetylase 6 inhibitor,"E.g.                         Pd                         2                        (dba)                         3                        + Xantphos                        THF, 130 °C                        3 min",2016,[                         104                        ]
Not named                          34,Image 34,11β-HSD1 inhibitor,"AIBN                        (TMS)                         3                        SiH                        NMP, 100 °C                        5 min",2016,[                         149                        ]
Not named                          35,Image 35,Analogue of Benzovesamicol targeting VAChT,"Pd(dba)                         2                        + Xantphos                        TBAI, TEA                        THF, 150 °C                        5 min",2017,[                         98                        ]
[                         11                        C]Acetyl cRGDfK                          36,Image 36,α                         V                        β                         3                        integrin receptor ligand,"(COD)PdMeCl + Xantphos DMF, 80 °C                        8 min",2017,[                         112                        ]
[                         11                        C]Lacosamide                          37,Image 37,Registered drug. Voltage-gated sodium channels/                        Collapsin response mediator protein 2,"(COD)PdMeCl + Xantphos DMF, 60 °C                        8 min",2017,[                         112                        ]
Not named                          38,Image 38,Analogue of Dazoxiben targeting thromboxane synthase,"Pd(dba)                         2                        + dppf                        DMF, 150 °C                        5 min",2017,[                         81                        ]
Not named                          39,Image 39,Soluble epoxide hydrolase inhibitor,"Pd(PPh                         3                        )                         2                        Cl                         2                         THF, 120 °C                        10 min",2017,[                         64                        ]
