"Exp. Points
Exp. Points
Exp. Points","Ascending load
Indicated Mass
g","Ascending load
Ajusted Mass
G","Descending load
Indicated Mass
g","Descending load
Ajusted Mass
g","Uncertainty analysis
Adjusted Uncertainty
g","Uncertainty analysis
Standard Mass Uncertainty
g","Uncertainty analysis
Resolution Uncertainty
g","Uncertainty analysis
Combined Uncertainty
g","Uncertainty analysis
Expanded Uncertainty
g"
51,98.5038,99.0131,98.5037,173.0229,0.00063,0.0000282,0.000029,0.00063,0.0012
52,100.5025,101.0222,100.5031,175.0327,0.00063,0.0000268,0.000029,0.00063,0.0012
53,102.5027,103.0328,102.5030,177.0430,0.00063,0.0000276,0.000029,0.00063,0.0012
54,104.5027,105.0432,104.5029,179.0533,0.00063,0.0000284,0.000029,0.00063,0.0012
55,106.5025,107.0534,106.5028,181.0636,0.00063,0.0000286,0.000029,0.00063,0.0012
56,108.5026,109.0639,108.5028,183.0740,0.00063,0.0000293,0.000029,0.00063,0.0012
57,110.5026,111.0743,110.5027,185.0843,0.00063,0.0000286,0.000029,0.00063,0.0012
58,112.5026,113.0847,112.5027,187.0947,0.00063,0.0000294,0.000029,0.00063,0.0012
59,114.5027,115.0952,114.5028,189.1052,0.00063,0.0000301,0.000029,0.00063,0.0012
60,116.5026,117.1055,116.5028,191.1156,0.00063,0.0000303,0.000029,0.00063,0.0012
61,118.5027,119.1160,118.5028,193.1260,0.00063,0.0000310,0.000029,0.00063,0.0012
62,120.5025,121.1262,120.5027,195.1363,0.00063,0.0000300,0.000029,0.00063,0.0012
63,122.5027,123.1368,122.5028,197.1468,0.00063,0.0000307,0.000029,0.00063,0.0012
64,124.5026,125.1471,124.5027,199.1571,0.00063,0.0000314,0.000029,0.00063,0.0012
65,126.5025,127.1574,126.5027,201.1675,0.00063,0.0000316,0.000029,0.00063,0.0012
66,128.5026,129.1679,128.5029,203.1781,0.00063,0.0000323,0.000029,0.00063,0.0012
67,130.5025,131.1782,130.5027,205.1883,0.00063,0.0000317,0.000029,0.00063,0.0012
68,132.5025,133.1886,132.5027,207.1987,0.00063,0.0000323,0.000029,0.00063,0.0012
69,134.5026,135.1991,134.5026,209.2090,0.00063,0.0000330,0.000029,0.00063,0.0012
70,136.5026,137.2095,136.5028,211.2196,0.00063,0.0000332,0.000029,0.00063,0.0012
71,138.5027,139.2200,138.5028,213.2300,0.00063,0.0000338,0.000029,0.00063,0.0012
72,140.5026,141.2303,140.5028,215.2404,0.00063,0.0000329,0.000029,0.00063,0.0012
73,142.5028,143.2409,142.5028,217.2508,0.00063,0.0000336,0.000029,0.00063,0.0012
74,144.5027,145.2512,144.5028,219.2612,0.00063,0.0000342,0.000029,0.00063,0.0012
75,146.5026,147.2615,146.5028,221.2716,0.00063,0.0000344,0.000029,0.00063,0.0012
76,148.5028,149.2721,148.5033,223.2825,0.00063,0.0000350,0.000029,0.00063,0.0012
77,150.5026,151.2823,150.5028,225.2924,0.00063,0.0000315,0.000029,0.00063,0.0012
78,152.5028,153.2929,152.5027,227.3027,0.00063,0.0000322,0.000029,0.00063,0.0012
79,154.5028,155.3033,154.5029,229.3133,0.00063,0.0000328,0.000029,0.00063,0.0012
80,156.5027,157.3136,156.5028,231.3236,0.00063,0.0000330,0.000029,0.00063,0.0012
81,158.5028,159.3241,158.5028,233.3340,0.00063,0.0000336,0.000029,0.00063,0.0012
82,160.5028,161.3345,160.5029,235.3445,0.00063,0.0000330,0.000029,0.00063,0.0012
83,162.5028,163.3449,162.5030,237.3550,0.00063,0.0000337,0.000029,0.00063,0.0012
84,164.5029,165.3554,164.5029,239.3653,0.00063,0.0000343,0.000029,0.00063,0.0012
85,166.5028,167.3657,166.5027,241.3755,0.00063,0.0000345,0.000029,0.00063,0.0012
86,168.5028,169.3761,168.5029,243.3861,0.00063,0.0000351,0.000029,0.00063,0.0012
87,170.5028,171.3865,170.5027,245.3963,0.00063,0.0000343,0.000029,0.00063,0.0012
88,172.5028,173.3969,172.5030,247.4070,0.00063,0.0000349,0.000029,0.00063,0.0012
89,174.5028,175.4073,174.5029,249.4173,0.00063,0.0000355,0.000029,0.00063,0.0012
90,176.5028,177.4177,176.5029,251.4277,0.00063,0.0000357,0.000029,0.00063,0.0012
91,178.5031,179.4284,178.5030,253.4382,0.00063,0.0000362,0.000029,0.00063,0.0012
92,180.5028,181.4385,180.5030,255.4486,0.00063,0.0000357,0.000029,0.00063,0.0012
93,182.5029,183.4490,182.5028,257.4588,0.00063,0.0000363,0.000029,0.00063,0.0012
94,184.5028,185.4593,184.5033,259.4697,0.00063,0.0000369,0.000029,0.00063,0.0012
95,186.5028,187.4697,186.5031,261.4799,0.00063,0.0000370,0.000029,0.00063,0.0012
96,188.5030,189.4803,188.5032,263.4904,0.00063,0.0000376,0.000029,0.00063,0.0012
97,190.5030,191.4907,190.5033,265.5009,0.00063,0.0000368,0.000029,0.00063,0.0012
98,192.5030,193.5011,192.5032,267.5112,0.00063,0.0000371,0.000029,0.00063,0.0012
99,194.5032,195.5117,194.5033,269.5217,0.00063,0.0000376,0.000029,0.00063,0.0012
100,196.5031,197.5220,196.5033,271.5321,0.00063,0.0000381,0.000029,0.00063,0.0012
101,198.5032,199.5325,198.5038,273.5430,0.00063,0.0000387,0.000029,0.00063,0.0012
102,200.5035,201.5432,200.5035,275.5531,0.00063,0.0000502,0.000029,0.00063,0.0012
