"Exp. Points
Exp. Points
Exp. Points","Standard Mass
Standard Mass
g","Ascending load
Mass indicated by the scale
g","Ascending load
Environmental Temperature
°C","Ascending load
Atmospheric Pressure
mbar/abs","Descending load
Mass indicated by the scale
g","Descending load
Environmental Temperature
°C","Descending load
Atmospheric Pressure
mbar/abs"
48,92.5,92.5033,29.0,1001,92.5035,29.6,1000
49,94.5,94.5033,29.0,1001,94.5035,29.6,1000
50,96.5,96.5037,29.1,1001,96.5037,29.6,1000
51,98.5,98.5038,29.1,1001,98.5037,29.6,1000
52,100.5,100.5025,29.1,1001,100.5031,29.6,1000
53,102.5,102.5027,29.1,1001,102.5030,29.6,1000
54,104.5,104.5027,29.1,1001,104.5029,29.6,1000
55,106.5,106.5025,29.1,1001,106.5028,29.6,1000
56,108.5,108.5026,29.1,1001,108.5028,29.6,1000
57,110.5,110.5026,29.1,1001,110.5027,29.5,1000
58,112.5,112.5026,29.1,1001,112.5027,29.5,1000
59,114.5,114.5027,29.1,1001,114.5028,29.5,1000
60,116.5,116.5026,29.1,1001,116.5028,29.5,1000
61,118.5,118.5027,29.1,1001,118.5028,29.5,1000
62,120.5,120.5025,29.1,1001,120.5027,29.5,1000
63,122.5,122.5027,29.1,1001,122.5028,29.5,1000
64,124.5,124.5026,29.1,1001,124.5027,29.5,1000
65,126.5,126.5025,29.1,1001,126.5027,29.5,1000
66,128.5,128.5026,29.1,1001,128.5029,29.5,1000
67,130.5,130.5025,29.1,1001,130.5027,29.5,1000
68,132.5,132.5025,29.1,1001,132.5027,29.5,1000
69,134.5,134.5026,29.1,1001,134.5026,29.5,1000
70,136.5,136.5026,29.1,1001,136.5028,29.5,1000
71,138.5,138.5027,29.1,1001,138.5028,29.5,1000
72,140.5,140.5026,29.1,1001,140.5028,29.5,1000
73,142.5,142.5028,29.2,1001,142.5028,29.5,1000
74,144.5,144.5027,29.2,1001,144.5028,29.5,1000
75,146.5,146.5026,29.2,1001,146.5028,29.5,1000
76,148.5,148.5028,29.2,1001,148.5033,29.5,1000
77,150.5,150.5026,29.2,1001,150.5028,29.5,1000
78,152.5,152.5028,29.2,1001,152.5027,29.5,1000
79,154.5,154.5028,29.2,1000,154.5029,29.5,1000
80,156.5,156.5027,29.2,1000,156.5028,29.5,1000
81,158.5,158.5028,29.2,1000,158.5028,29.5,1000
82,160.5,160.5028,29.2,1000,160.5029,29.4,1000
83,162.5,162.5028,29.2,1000,162.5030,29.4,1000
84,164.5,164.5029,29.2,1000,164.5029,29.4,1000
85,166.5,166.5028,29.2,1000,166.5027,29.4,1000
86,168.5,168.5028,29.2,1000,168.5029,29.4,1000
87,170.5,170.5028,29.2,1000,170.5027,29.4,1000
88,172.5,172.5028,29.2,1000,172.5030,29.4,1000
89,174.5,174.5028,29.2,1000,174.5029,29.4,1000
90,176.5,176.5028,29.2,1000,176.5029,29.4,1000
91,178.5,178.5031,29.2,1000,178.5030,29.4,1000
92,180.5,180.5028,29.2,1000,180.5030,29.4,1000
93,182.5,182.5029,29.2,1000,182.5028,29.4,1000
94,184.5,184.5028,29.2,1000,184.5033,29.4,1000
95,186.5,186.5028,29.2,1000,186.5031,29.4,1000
96,188.5,188.5030,29.2,1000,188.5032,29.4,1000
97,190.5,190.5030,29.2,1000,190.5033,29.4,1000
98,192.5,192.5030,29.2,1000,192.5032,29.4,1000
99,194.5,194.5032,29.2,1000,194.5033,29.4,1000
100,196.5,196.5031,29.2,1000,196.5033,29.4,1000
101,198.5,198.5032,29.2,1000,198.5038,29.3,1000
102,200.5,200.5035,29.2,1000,200.5035,29.2,1000
