NCT,Title,Starting Date,Completion date,Recruting,Location,Randomization,Masking,Placebo,Nb patients,Nb in HCQ arm,Dose D1                           mg,Dose per day mg,Nb days,Dose per week,Nb of weeks
"4,341,441",Will Hydroxychloroquine Impede or Prevent COVID-19: WHIP COVID-19 Study,"April 7, 2020","June 30, 2020",Yes,"Detroit, Michigan, USA",Yes,Triple,Yes,3000,1500,400,200,56,Or 6.5                          mg/kg/week,8
"4,336,748","Low-dose Hydroxychloroquine for Primary Prophylaxis Against SARS-CoV-2 in Health-care Workers - a Randomized, Double-blind, Controlled Trial",April 2020,July 2020,No,"Medical University of Vienna, Austria",Yes,Triple,Yes,440,220,200,200,28,mg,–
"4,318,015",Chemoprophylaxis With Hydroxychloroquine in Healthcare Personnel in Contact With COVID-19 Patients: A Randomized Controlled Trial,"April 14, 2020","Dec 31, 2020",Yes,"National Institute of Respiratory Diseases, Mexico",Yes,Quadruple,Yes,400,200,200,200,60,mg,–
"4,334,928",Prevention of SARS-CoV-2 (COVID-19) Through Pre-Exposure Prophylaxis With Tenofovir Disoproxil Fumarate/Emtricitabine and Hydroxychloroquine in Healthcare Personnel: Randomized Clinical Trial Controlled With Placebo,"April 15, 2020","June 30, 2020",No,"Hospital Universitario Ramón y Cajal, Madrid, Spain,",Yes,Double,Yes,4000,1000,200,200,84,mg,–
"4,349,228",Assessment of the Efficacy and Safety of (HCQ) as a Prophylaxis for COVID19 for Health Professionals,"April15, 2020","July 15, 2020",No,"Hôpital Abderrahmane Mami-Ariana Tunis, Tunisia",Yes,Single,Yes,530,265,200,200,60,mg,–
"4,328,467",Pre-exposure Prophylaxis for SARS-Coronavirus-2: A Pragmatic Randomized Clinical Trial,"April6, 2020",August 2020,Yes,"Minneapolis, Minnesota, USA",Yes,Quadruple,Yes,3500,1166,800,–,1,400,12
"4,328,467",Pre-exposure Prophylaxis for SARS-Coronavirus-2: A Pragmatic Randomized Clinical Trial,"April6, 2020",August 2020,Yes,"Minneapolis, Minnesota, United States, USA",Yes,Quadruple,Yes,3500,1166,800,–,1,800,12
"4,333,225",A Prospective Clinical Study of Hydroxychloroquine in the Prevention of SARS- CoV-2 (COVID-19) Infection in Healthcare Workers After High-risk Exposures,"April 3, 2020","July 30, 2020",invitation,"Baylor University Medical Center Dallas, Texas, USA",No,None,No,360,360,800,–,1,400,7
"4,347,889",Prophylactic Hydroxychloroquine vs Vitamin C in Healthcare Workers at Risk of COVID-19: A RCT,April 20,"Dec 30, 2020",No,"Stony Brook University, New York USA",Yes,Single,Vitamin C,1212,606,800,–,1,400,12
"4,352,933",ChemoPROphyLaxIs For covId-19 Infectious Disease (the PROLIFIC Trial),April 2020,"Oct 31, 2020",No,"Cambridge University Hospitals NHS Foundation Trust, UK",Yes,Quadruple,Yes,,330,800 D1 & D2,200,90,or 400/wk after loading,12
"4,341,441",Will Hydroxychloroquine Impede or Prevent COVID-19: WHIP COVID-19 Study,"April 7, 2020","June 30, 2020",Yes,"Detroit, Michigan, USA",Yes,Triple,Yes,3000,1500,400,200,56,Or 6.5                          mg/kg/week,8
"4,345,653",Hydroxychloroquine as Chemoprevention for COVID-19 for High Risk Healthcare Workers,"April 14, 2020","April 8, 2021",Yes,"Hackensack Meridian Health - JFK Medical Center Edison, New Jersey, USA",No,None,No,45,45,400,–,1,400,3
